cond,trial,method,rec_n,rec_d,recovery_rate,rel_err,r2,mse,nmse,lambda1,lambda2
100,7,sparseho_EN,2,4,0.4999999999875,0.9864589808244979,-0.17708225284911006,10.031182015422923,0.9602583790984963,0.0054948620669267945,0.0006105402296585326
100,7,HPP_sparseho,2,4,0.4999999999875,0.9894581523900465,-0.18754326597397086,10.120331542966312,0.9687924263009688,0.0054948620669267945,0.0006105402296585326
100,7,EN_manual,3,4,0.74999999998125,0.9942404231118742,-0.20831507566451846,10.297350441425838,0.98573797471622,0.0054948620669267945,0.0006105402296585326
100,7,Ridge,4,4,0.999999999975,0.9951745079521647,-0.2092904121390582,10.305662330997453,0.9865336498016699,0.0054948620669267945,0.0006105402296585326
100,8,sparseho_EN,2,4,0.4999999999875,0.9885684115171578,-0.1179839519729291,8.306047709391473,0.9569660813451971,0.02846049894151541,0.0031622776601683785
100,8,HPP_sparseho,2,4,0.4999999999875,0.9914395657775454,-0.11713484610573532,8.29973928803105,0.9562392681266874,0.02846049894151541,0.0031622776601683785
100,8,EN_manual,3,4,0.74999999998125,0.9967682736602734,-0.14649358402301393,8.5178596621188,0.9813696077244592,0.02846049894151541,0.0031622776601683785
100,8,Ridge,4,4,0.999999999975,1.0009466658430923,-0.1498297796912349,8.542645885873808,0.9842253071194141,0.02846049894151541,0.0031622776601683785
100,9,sparseho_EN,1,4,0.24999999999375,0.9875000233472115,-0.08557086265729685,6.28728001027295,0.9362048725896105,0.02846049894151541,0.0031622776601683785
100,9,HPP_sparseho,1,4,0.24999999999375,0.9821998414374175,-0.09817512752320545,6.360279890116474,0.9470748900051377,0.02846049894151541,0.0031622776601683785
100,9,EN_manual,2,4,0.4999999999875,0.9870553244674233,-0.12276108016921472,6.502673881998669,0.9682780094478503,0.02846049894151541,0.0031622776601683785
100,9,Ridge,4,4,0.999999999975,0.9856397521582954,-0.1270482139502842,6.527503592752976,0.9719752674282791,0.02846049894151541,0.0031622776601683785
100,10,sparseho_EN,4,4,0.999999999975,0.9398276983525745,-0.05727963991762386,5.9531690755358095,0.9264454182679027,0.012505459449358236,0.001389495494373137
100,10,HPP_sparseho,4,4,0.999999999975,0.9460556981219679,-0.059783189683846105,5.967265682038608,0.9286391635390242,0.012505459449358236,0.001389495494373137
100,10,EN_manual,3,4,0.74999999998125,0.9755763920232342,-0.11559595362477415,6.281527687820921,0.9775453161610207,0.012505459449358236,0.001389495494373137
100,10,Ridge,4,4,0.999999999975,0.9716444440648513,-0.11703176993147224,6.2896122634738205,0.9788034558135713,0.012505459449358236,0.001389495494373137
100,11,sparseho_EN,4,4,0.999999999975,0.9754824306375164,-0.18449361241723206,1.2373499142463456,0.9524420393968425,3e-05,7e-05
